Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],NC2.5,Fire Alarm,IsItDay?,Weekday_0,Weekday_1,Weekday_2
27.041,49.8,19.0,400.0,13059.0,19951,939.777,0.011,0,0,0,0,1
26.987,54.26,1.0,400.0,13078.0,19975,939.765,0.011,0,0,0,0,1
26.985,53.66,10.0,400.0,13068.0,19955,939.768,0.011,0,0,0,0,1
26.983,53.07,10.0,400.0,13069.0,19963,939.775,0.013,0,0,0,0,1
26.982,52.57,13.0,400.0,13072.0,19958,939.77,0.013,0,0,0,0,1
26.98,52.17,14.0,400.0,13070.0,19953,939.77,0.013,0,0,0,0,1
26.978,51.78,9.0,400.0,13072.0,19964,939.773,0.013,0,0,0,0,1
26.976,51.45,10.0,400.0,13069.0,19952,939.765,0.013,0,0,0,0,1
26.975,51.2,12.0,400.0,13069.0,19960,939.769,0.013,0,0,0,0,1
26.973000000000003,50.92,10.0,400.0,13071.0,19956,939.764,0.012,0,0,0,0,1
26.971,50.69,17.0,400.0,13070.0,19943,939.753,0.012,0,0,0,0,1
26.969,50.5,18.0,400.0,13062.0,19943,939.744,0.012,0,0,0,0,1
26.967,50.28,11.0,400.0,13069.0,19956,939.746,0.012,0,0,0,0,1
26.965,50.1,13.0,400.0,13070.0,19960,939.746,0.011,0,0,0,0,1
26.964,49.95,4.0,400.0,13065.0,19950,939.752,0.011,0,0,0,0,1
26.946,49.09,1.0,400.0,13071.0,19963,939.755,0.011,0,0,0,0,1
26.944000000000003,49.06,7.0,400.0,13067.0,19948,939.747,0.011,0,0,0,0,1
26.89,56.17,28.0,400.0,13061.0,19935,939.738,0.011,0,0,0,0,1
26.887,56.36,0.0,400.0,13084.0,19966,939.74,0.012,0,0,0,0,1
26.885,55.94,0.0,400.0,13095.0,19981,939.723,0.012,0,0,0,0,1
26.883000000000003,55.26,0.0,400.0,13085.0,19973,939.729,0.013,0,0,0,0,1
26.88,54.51,0.0,400.0,13093.0,19970,939.726,0.013,0,0,0,0,1
26.878,53.82,0.0,400.0,13080.0,19967,939.729,0.013,0,0,0,0,1
26.876,53.23,0.0,400.0,13085.0,19971,939.729,0.013,0,0,0,0,1
26.874,52.65,0.0,400.0,13075.0,19959,939.735,0.013,0,0,0,0,1
26.871,52.19,7.0,400.0,13081.0,19964,939.721,0.0139999999999999,0,0,0,0,1
26.869,51.78,14.0,400.0,13083.0,19958,939.714,0.0139999999999999,0,0,0,0,1
26.867,51.48,18.0,400.0,13075.0,19953,939.715,0.0139999999999999,0,0,0,0,1
26.864,51.18,14.0,400.0,13076.0,19958,939.718,0.0139999999999999,0,0,0,0,1
26.862,50.87,13.0,400.0,13084.0,19961,939.717,0.013,0,0,0,0,1
26.857,50.39,7.0,400.0,13081.0,19957,939.73,0.013,0,0,0,0,1
26.855,50.16,12.0,400.0,13075.0,19958,939.733,0.012,0,0,0,0,1
26.852,50.0,6.0,400.0,13074.0,19950,939.718,0.012,0,0,0,0,1
26.85,49.86,1.0,400.0,13081.0,19965,939.714,0.012,0,0,0,0,1
26.847,49.74,15.0,400.0,13081.0,19954,939.716,0.012,0,0,0,0,1
26.845,49.6,3.0,400.0,13080.0,19962,939.712,0.011,0,0,0,0,1
26.84,49.39,11.0,400.0,13074.0,19963,939.705,0.011,0,0,0,0,1
26.817,48.61,36.0,400.0,13054.0,19928,939.74,0.011,0,0,0,0,1
26.815,48.94,38.0,400.0,13055.0,19927,939.733,0.011,0,0,0,0,1
26.812,49.63,35.0,400.0,13057.0,19923,939.726,0.011,0,0,0,0,1
26.81,50.29,42.0,400.0,13061.0,19930,939.718,0.011,0,0,0,0,1
26.807,50.96,38.0,400.0,13059.0,19933,939.73,0.012,0,0,0,0,1
