id,public_petition_text,reason_category
3168490,снег на дороге,Благоустройство
3219678,очистить кабельный киоск от рекламы,Благоустройство
2963920,"Просим убрать все деревья и кустарники, которые вышли за пределы газона на пешеходную зону, начиная от подъезда №13 до подъезда №15 (фасад дома со стороны ул. Наличной).",Благоустройство
3374910,Неудовлетворительное состояние парадной - надписи на двери 2 этажа,Содержание МКД
3336285,Граффити,Благоустройство
3130088,"Необходимо проверить законность установки вывески на фасаде МКД по адресу проспект Непокорённых 74. В случае, если вывеска установлена незаконно её необходимо демонтировать",Незаконная информационная и (или) рекламная конструкция
3333526,"Уборка не производится, на лестнице очень грязно. На всех этажах, вплоть до 5-го.
Звонок в ЖКС#2 5.04.2021 не дал результатов.",Содержание МКД
3375258,Мусор,Благоустройство
2982491,Отсутствует освещение на лестничной площадке между 6 и 7 этажами в парадной № 2,Содержание МКД
3375788,"Зачем было делать благоустройство, если никто не убирает мусор??? И так ежедневно!",Благоустройство
3083500,Просьба закрасить,Благоустройство
3156963,Реклама на заборе.,Благоустройство
3081198,Снег с тротуаре не убран,Благоустройство
3241271,Проблема с регулярным вывозом мусора,Содержание МКД
3354459,Рисунки,Благоустройство
3357951,"Пожалуйста, удалите бетонный обрубок с ржавой арматурой с газона перед домом. Адрес : улица Тухачевского, д. 5 к.1",Благоустройство
3040885,Мусор на асфальте,Благоустройство
3175430,"Ланское шоссе д12к1 парадная 4
поврежден почтовый ящик, прошу заменить",Содержание МКД
3288590,"Криво висят, просьба поправить, 3 подьезд, 1 этаж",Содержание МКД
3161576,"Плохая уборка улицы. Мусор на тротуаре и газоне, прямо у офиса муниципалов.",Благоустройство
3173865,Надписи на заборе.,Благоустройство
3002388,уберите,Благоустройство
2982879,Частично разрушено ограждение контейнерной площадки.,Содержание МКД
3306538,"После демонтажа рекламных вывесок на фасаде образовались повреждения.
Требуется произвести работы по качественному восстановлению штукатурно-окрасочного слоя, соответствуя колерной палитре, предварительно подготовив поверхности (оштукатурить, удалить грязь, неровности).

Фотофиксация прилагается.",Фасад
3085552,Надписи на стене.,Благоустройство
